Code,Area,2012,2013,2014,2015,2016,2017,2018,2019
E09000002,Barking and Dagenham,7.05,7.09,7.01,7.32,7.45,7.50,7.66,7.52
E09000003,Barnet,7.43,7.28,7.40,7.54,7.53,7.47,7.63,7.55
E09000004,Bexley,7.42,7.42,7.28,7.52,7.41,7.46,7.42,7.54
E09000005,Brent,7.11,7.28,7.41,7.24,7.55,7.67,7.79,7.71
E09000006,Bromley,7.50,7.60,7.53,7.71,7.54,7.60,7.31,7.57
E09000007,Camden,7.25,7.24,7.11,7.25,7.35,7.56,7.31,7.48
E09000008,Croydon,7.04,7.01,7.36,7.35,7.45,7.68,7.49,7.69
E09000009,Ealing,7.22,7.22,7.24,7.60,7.65,7.42,7.55,7.53
E09000010,Enfield,7.23,7.24,7.28,7.45,7.30,7.29,7.34,7.37
E09000011,Greenwich,7.18,7.15,7.15,7.33,7.23,7.28,7.47,7.54
E09000012,Hackney,7.00,7.07,7.05,7.43,7.31,7.26,7.34,7.5
E09000013,Hammersmith and Fulham,7.38,7.21,7.40,7.56,7.68,7.47,7.34,7.72
E09000014,Haringey,7.11,7.17,7.28,7.38,7.26,7.56,7.60,7.35
E09000015,Harrow,7.31,7.37,7.51,7.49,7.65,7.64,7.79,7.65
E09000016,Havering,7.35,7.36,7.51,7.62,7.69,7.53,7.58,7.68
E09000017,Hillingdon,7.40,7.37,7.50,7.63,7.46,7.68,7.55,7.76
E09000018,Hounslow,7.26,7.35,7.33,7.57,7.54,7.96,7.34,7.85
E09000019,Islington,7.09,7.14,7.35,7.36,7.29,7.38,7.38,7.51
E09000020,Kensington and Chelsea,7.57,7.70,7.67,7.65,7.78,7.52,7.31,7.23
E09000021,Kingston upon Thames,7.33,7.17,7.43,7.52,7.71,7.69,7.60,7.78
E09000022,Lambeth,7.13,7.08,7.01,7.41,7.41,7.35,7.42,7.22
E09000023,Lewisham,7.05,7.23,7.34,7.33,7.14,7.18,7.31,7.49
E09000024,Merton,7.14,7.18,7.43,7.64,7.56,7.62,7.55,7.84
E09000025,Newham,7.12,7.23,7.24,7.54,7.73,7.61,7.47,7.54
E09000026,Redbridge,7.33,7.30,7.47,7.55,7.87,7.57,7.55,7.54
E09000027,Richmond upon Thames,7.52,7.40,7.60,7.54,7.74,7.71,7.73,7.7
E09000028,Southwark,7.36,7.21,7.58,7.43,7.49,7.37,7.47,7.34
E09000029,Sutton,7.39,7.28,7.49,7.60,7.45,7.66,7.91,7.88
E09000030,Tower Hamlets,7.02,7.32,7.50,7.54,7.48,7.75,7.51,7.82
E09000031,Waltham Forest,7.18,7.24,7.34,7.64,7.55,7.67,7.73,7.46
E09000032,Wandsworth,7.46,7.26,7.43,7.47,7.53,7.64,7.64,7.65
E09000033,Westminster,7.33,7.00,7.53,7.45,7.60,7.68,7.57,7.66
